OBJECT TEFF E_TEFF LOGG E_LOGG FEH E_FEH LI1 E_LI1 "AGE (Gyr)" GES_FLD MEM3D
07462942-0430461 5802 66 3.85 0.17 -0.17 0.05 2.17 0.19 5.623 Br39 0.9983
07463433-0434585 5690 81 3.6 0.22 -0.13 0.08 1.84 0.0 5.623 Br39 0.9996
07463804-0435059 5252 80 3.44 0.21 -0.15 0.07 1.87 0.0 5.623 Br39 0.9867
07463848-0439584 5282 65 4.54 0.18 -0.28 0.06 1.25 0.0 5.623 Br39 0.999
07464093-0440253 5472 66 4.74 0.18 -0.32 0.05 2.13 0.17 5.623 Br39 0.9995
07464151-0429578 5593 81 3.36 0.22 0.07 0.07 1.71 0.49 5.623 Br39 0.9983
07464489-0433351 5900 105 4.49 0.34 0.13 0.09 2.26 0.29 5.623 Br39 0.9986
07464518-0437309 5725 81 4 0.22 -0.18 0.07 2.31 0.16 5.623 Br39 0.9995
07464518-0445344 5133 82 4.66 0.22 -0.26 0.08 1.52 0.28 5.623 Br39 0.9782
07464650-0441028 6016 82 4.16 0.22 0.18 0.08 2.82 0.17 5.623 Br39 0.9988
07464785-0441049 5890 66 4.09 0.17 -0.23 0.05 2.47 0.14 5.623 Br39 0.999
07464839-0440089 6133 65 4.3 0.17 -0.24 0.05 2.79 0.07 5.623 Br39 0.9998
07464920-0445237 5529 64 4.04 0.17 -0.13 0.05 1.78 0.31 5.623 Br39 0.985
07464928-0440106 5857 63 4.31 0.18 -0.35 0.05 2.68 0.1 5.623 Br39 0.9996
07465017-0440205 5759 64 4.32 0.17 -0.34 0.06 2.46 0.1 5.623 Br39 0.9994
07465186-0438125 5810 103 4.79 0.32 0.01 0.09 2.52 0.21 5.623 Br39 0.9985
07465187-0440022 5486 64 4.26 0.17 -0.18 0.05 1.81 0.1 5.623 Br39 0.995
07465188-0435157 5561 83 3.85 0.22 -0.02 0.08 1.88 0.28 5.623 Br39 0.9985
07465301-0442031 6105 66 4.21 0.18 -0.2 0.05 2.58 0.08 5.623 Br39 0.9972
07465315-0445253 5544 64 4.28 0.17 -0.26 0.06 1.95 0.23 5.623 Br39 0.9995
07465390-0444238 5875 101 4.52 0.33 -0.07 0.09 2.06 0.0 5.623 Br39 0.9994
07465444-0443452 5841 65 4.21 0.18 -0.37 0.05 2.41 0.16 5.623 Br39 0.9986
07465567-0437027 4887 81 4.07 0.22 -0.29 0.08 1.53 0.2 5.623 Br39 0.9624
07465662-0448234 5602 79 4.13 0.21 0 0.08 1.82 0.0 5.623 Br39 0.9995
07470119-0431261 5604 82 4.9 0.21 0.31 0.07 2.25 0.22 5.623 Br39 0.9991
07470308-0446467 5938 68 4.24 0.21 -0.4 0.05 2.66 0.08 5.623 Br39 0.9999
07470386-0441175 5473 79 3.19 0.22 -0.14 0.08 2.35 0.18 5.623 Br39 0.9972
07470609-0442319 5869 70 4.49 0.21 -0.34 0.05 2.44 0.13 5.623 Br39 0.9998
07470613-0442590 5569 70 4.35 0.21 -0.15 0.05 1.84 0.0 5.623 Br39 0.9992
07470803-0441477 5956 64 4.53 0.17 -0.13 0.05 2.4 0.14 5.623 Br39 0.9995
07470877-0433267 5335 81 4.08 0.22 -0.17 0.08 1.8 0.23 5.623 Br39 0.9902
07471018-0445233 5438 66 4.32 0.17 -0.36 0.05 1.55 0.0 5.623 Br39 0.9996
07471024-0435200 5884 85 4.98 0.22 0.26 0.08 2.68 0.18 5.623 Br39 0.9986
07471207-0441081 5650 70 4.37 0.2 -0.14 0.05 1.73 0.0 5.623 Br39 0.9992
07471210-0434498 5592 81 4.05 0.22 -0.1 0.08 2.07 0.27 5.623 Br39 0.9924
07471256-0439231 5707 83 4.03 0.21 0.14 0.08 2.44 0.21 5.623 Br39 0.996
07471267-0440354 5550 70 4.35 0.21 -0.33 0.05 2.01 0.2 5.623 Br39 0.9996
07471663-0443230 5564 65 4.22 0.17 -0.25 0.06 1.88 0.24 5.623 Br39 0.9996
07472212-0445231 5763 67 4.5 0.17 -0.07 0.05 1.71 0.0 5.623 Br39 0.9943
07472934-0446554 5976 65 4.21 0.18 -0.11 0.05 2.75 0.1 5.623 Br39 0.9948
07461360-0438293 6574 82 3.88 0.22 -0.06 0.08 2.45 0.0 5.623 Br39 0.9995
07462020-0437323 5876 65 4.11 0.17 -0.24 0.05 2.92 0.09 5.623 Br39 0.9999
07462529-0440341 5174 65 3.88 0.17 -0.33 0.05 1.62 0.13 5.623 Br39 0.9996
07462603-0436508 6059 65 4.16 0.18 -0.24 0.05 2.83 0.09 5.623 Br39 0.9995
07462914-0436223 5886 66 4.39 0.17 -0.25 0.05 2.5 0.07 5.623 Br39 0.9998
07463452-0439332 5601 63 3.96 0.17 -0.4 0.05 2.36 0.14 5.623 Br39 0.9993
07463543-0436405 6079 64 4.22 0.17 -0.26 0.05 2.5 0.06 5.623 Br39 0.9992
07463586-0440391 5922 65 4.16 0.17 -0.11 0.05 2.68 0.08 5.623 Br39 0.9998
07463755-0442400 5940 65 4.43 0.17 -0.34 0.05 2.65 0.11 5.623 Br39 0.9988
07464060-0434317 6132 65 4.14 0.18 -0.17 0.06 2.76 0.07 5.623 Br39 0.9984
07464334-0439507 6111 65 4.31 0.18 -0.15 0.05 2.58 0.11 5.623 Br39 0.9991
07464396-0444330 5803 65 4.33 0.17 -0.26 0.06 2.32 0.07 5.623 Br39 0.9992
07464438-0440111 6071 65 4.3 0.17 -0.24 0.05 2.63 0.07 5.623 Br39 0.9999
07464474-0434155 5934 63 3.93 0.17 -0.34 0.05 2.51 0.09 5.623 Br39 0.9992
07464519-0436405 6104 64 4.41 0.18 -0.19 0.06 3.16 0.09 5.623 Br39 0.9999
07464523-0438417 5148 65 3.33 0.17 -0.08 0.05 1.21 0.18 5.623 Br39 0.9997
07464606-0440285 5810 79 4.21 0.22 -0.23 0.08 2.61 0.17 5.623 Br39 0.9998
07464621-0436391 6211 64 4.08 0.17 -0.06 0.06 2.78 0.1 5.623 Br39 0.9992
07464719-0437320 5674 66 4.24 0.18 -0.12 0.05 2.04 0.12 5.623 Br39 0.9999
07464788-0440115 4767 67 2.49 0.18 -0.23 0.05 0.09 0.15 5.623 Br39 0.9999
07464789-0439419 6113 82 4.83 0.22 -0.16 0.08 2.69 0.12 5.623 Br39 0.9999
07464890-0440142 5139 62 3.63 0.17 -0.19 0.05 1.05 0.22 5.623 Br39 0.9856
07464896-0439494 6024 65 4.11 0.18 -0.23 0.05 2.96 0.08 5.623 Br39 0.9998
07464983-0438524 6119 83 3.63 0.21 -0.17 0.07 2.72 0.12 5.623 Br39 0.9996
07465048-0440450 5949 68 4.13 0.17 -0.45 0.05 2.51 0.1 5.623 Br39 0.9996
07465080-0442163 6283 83 4.25 0.22 -0.11 0.07 2.92 0.17 5.623 Br39 0.9993
07465090-0441137 5415 66 4.14 0.18 0 0.05 1.48 0.0 5.623 Br39 0.9997
07465183-0436558 6626 84 3.76 0.21 0.21 0.07 2.43 0.0 5.623 Br39 0.9771
07465191-0433379 4996 63 3.38 0.18 -0.12 0.05 0.48 0.46 5.623 Br39 0.9972
07465201-0437385 5785 65 4.12 0.18 -0.35 0.05 2.37 0.1 5.623 Br39 0.9855
07465268-0439444 5426 66 3.79 0.18 -0.02 0.05 2.05 0.1 5.623 Br39 0.9993
07465346-0438423 6028 65 4.57 0.18 -0.1 0.05 2.43 0.12 5.623 Br39 0.9915
07465369-0443580 6084 64 4.43 0.17 -0.19 0.05 2.44 0.09 5.623 Br39 0.9996
07465371-0443307 5892 65 4.39 0.18 -0.39 0.05 2.47 0.07 5.623 Br39 0.9998
07465410-0445352 5900 65 4.11 0.17 -0.16 0.06 2.7 0.07 5.623 Br39 0.9999
07465414-0438582 4699 31 2.53 0.05 -0.15 0.05 -1 0.0 5.623 Br39 0.9999
07465506-0445252 5988 65 3.71 0.17 -0.27 0.06 1.99 0.16 5.623 Br39 0.9997
07465523-0440124 5551 65 4.33 0.17 -0.05 0.05 1.83 0.14 5.623 Br39 0.9999
07465541-0439390 6202 68 4.3 0.18 0.07 0.05 2.91 0.1 5.623 Br39 0.9998
07465580-0444155 6149 65 3.91 0.18 -0.33 0.05 2.68 0.11 5.623 Br39 0.9998
07465614-0444327 5885 63 4.01 0.17 -0.33 0.05 1.9 0.25 5.623 Br39 0.9804
07465645-0439273 6335 81 3.94 0.22 0.13 0.07 2.62 0.0 5.623 Br39 0.9986
07465819-0447243 5872 65 4.5 0.18 -0.39 0.05 2.58 0.11 5.623 Br39 0.993
07465981-0441479 4840 30 2.63 0.05 -0.17 0.05 -0.17 0.0 5.623 Br39 0.9993
07470013-0433261 5059 64 3.39 0.17 -0.06 0.05 1.02 0.0 5.623 Br39 0.9999
07470014-0449151 5699 64 4.29 0.17 -0.15 0.05 2.02 0.16 5.623 Br39 0.9998
07470294-0440218 6207 65 4.22 0.17 -0.17 0.05 2.56 0.11 5.623 Br39 0.9944
07470350-0447154 5585 65 4.4 0.18 -0.13 0.06 1.87 0.15 5.623 Br39 0.9999
07470488-0440355 6094 66 4.34 0.18 -0.17 0.05 2.94 0.07 5.623 Br39 0.9997
07470632-0442181 6406 82 4.57 0.23 0.01 0.07 2.87 0.15 5.623 Br39 0.9997
07471076-0436259 4638 31 2.71 0.05 -0.12 0.05 0.28 0.06 5.623 Br39 0.9999
07471307-0435542 6436 83 4.08 0.22 -0.06 0.07 2.7 0.22 5.623 Br39 0.9941
07462466-0444454 5868 64 4.07 0.18 -0.36 0.05 2.29 0.09 5.623 Br39 0.9995
07463174-0439430 6099 63 4.31 0.18 -0.13 0.05 2.72 0.07 5.623 Br39 0.9998
07463320-0444202 6020 66 4.34 0.17 -0.34 0.05 2.66 0.08 5.623 Br39 0.9997
07463682-0442382 6057 66 4.38 0.17 -0.3 0.06 2.75 0.1 5.623 Br39 0.9998
07463828-0439474 6036 65 4.3 0.18 -0.22 0.05 2.7 0.07 5.623 Br39 0.9998
07463869-0441141 6039 67 4.38 0.17 -0.38 0.05 2.59 0.08 5.623 Br39 0.9985
07463897-0441563 4697 64 2.48 0.17 -0.28 0.05 0.5 0.11 5.623 Br39 0.9999
07464081-0437213 5604 65 3.98 0.18 -0.17 0.05 2.16 0.08 5.623 Br39 0.9991
07464135-0435045 5865 65 4.54 0.18 -0.3 0.05 2.27 0.17 5.623 Br39 0.9998
07464227-0440498 6588 83 4.33 0.22 -0.07 0.08 2.1 0.0 5.623 Br39 0.9818
07464338-0445368 5981 66 4.36 0.18 -0.19 0.05 2.72 0.08 5.623 Br39 0.9998
07464402-0439460 6089 64 4.05 0.18 -0.24 0.05 2.58 0.11 5.623 Br39 0.9914
07464434-0440076 6130 64 3.78 0.17 -0.27 0.05 1.89 0.22 5.623 Br39 0.9874
07464503-0442552 5149 66 3.65 0.18 -0.05 0.05 1.59 0.1 5.623 Br39 0.9998
07464551-0440332 5962 64 4.12 0.18 -0.36 0.05 2.44 0.1 5.623 Br39 0.9992
07464558-0442471 5900 64 4.07 0.17 -0.34 0.06 2.53 0.07 5.623 Br39 0.9877
07464570-0439106 5856 65 4.31 0.17 -0.32 0.06 2.6 0.08 5.623 Br39 0.999
07464580-0439474 6008 66 4.26 0.18 -0.01 0.05 2.84 0.07 5.623 Br39 0.9985
07464606-0434478 5959 65 4.09 0.17 -0.28 0.06 2.67 0.08 5.623 Br39 0.9994
07464652-0435220 5907 64 4.29 0.17 -0.09 0.05 2.71 0.06 5.623 Br39 0.9999
07464662-0441350 5889 65 3.94 0.18 -0.39 0.05 2.53 0.1 5.623 Br39 0.9755
07464737-0441001 6031 65 4.23 0.17 -0.25 0.05 2.43 0.08 5.623 Br39 0.9997
07464760-0441406 5952 66 4.23 0.17 -0.15 0.05 2.52 0.07 5.623 Br39 0.9999
07464906-0438110 6094 65 4.38 0.17 -0.27 0.05 2.71 0.07 5.623 Br39 0.9998
07464930-0442222 6123 63 4.15 0.18 -0.22 0.05 2.46 0.09 5.623 Br39 0.9995
07464971-0441495 5690 63 4.1 0.17 -0.2 0.05 1.98 0.1 5.623 Br39 0.9778
07465071-0441347 6021 64 4.23 0.17 -0.28 0.05 2.73 0.07 5.623 Br39 0.9998
07465131-0438487 6268 66 4.02 0.17 -0.24 0.05 1.8 0.0 5.623 Br39 0.9895
07465136-0437167 5400 64 4.05 0.18 -0.55 0.06 2.22 0.12 5.623 Br39 0.9997
07465196-0435390 5609 67 4.28 0.18 -0.25 0.05 2.14 0.09 5.623 Br39 0.9997
07465216-0437314 6154 65 4.54 0.18 -0.15 0.05 2.66 0.11 5.623 Br39 0.9963
07465242-0441267 6035 64 4.18 0.17 -0.08 0.05 2.89 0.08 5.623 Br39 0.9992
07465320-0444160 6157 65 3.94 0.17 -0.19 0.05 2.65 0.07 5.623 Br39 0.9996
07465343-0442422 6175 64 4.3 0.17 -0.18 0.05 2.7 0.09 5.623 Br39 0.9994
07465583-0439534 5977 64 4.33 0.17 -0.39 0.06 2.51 0.08 5.623 Br39 0.9999
07465717-0438315 5789 65 4.27 0.18 -0.47 0.05 2.45 0.06 5.623 Br39 0.9991
07465854-0440174 6049 63 4.27 0.18 -0.28 0.05 2.62 0.08 5.623 Br39 0.9954
07465906-0439102 5773 65 4.06 0.17 -0.08 0.06 2.73 0.06 5.623 Br39 0.9999
07465940-0437489 6025 67 4.22 0.17 -0.28 0.05 2.46 0.08 5.623 Br39 0.9999
07465982-0438597 5923 63 4.32 0.17 -0.25 0.05 2.71 0.09 5.623 Br39 0.974
07465982-0441085 5038 65 3.44 0.17 -0.13 0.05 0.44 0.49 5.623 Br39 0.9979
07465987-0433162 6255 63 4.32 0.17 -0.19 0.05 2.58 0.12 5.623 Br39 0.9997
07470093-0435564 6089 66 4.19 0.17 -0.14 0.06 2.74 0.08 5.623 Br39 0.9998
07470248-0436369 6066 65 4.36 0.18 -0.05 0.05 2.92 0.09 5.623 Br39 0.9997
07470302-0441396 6153 65 4.1 0.17 0.02 0.06 2.71 0.08 5.623 Br39 0.9996
07470308-0439056 6264 66 4.31 0.17 -0.12 0.05 2.81 0.1 5.623 Br39 0.9982
07470409-0440178 6284 65 4.14 0.18 -0.13 0.06 2.63 0.14 5.623 Br39 0.9995
07471181-0441580 6178 67 4.32 0.18 -0.13 0.05 2.67 0.09 5.623 Br39 0.9999
07471208-0446289 5996 66 4.28 0.17 -0.33 0.05 2.66 0.11 5.623 Br39 0.9585
07471268-0437532 6131 66 4.24 0.17 -0.2 0.05 2.74 0.09 5.623 Br39 0.9996
07471526-0446560 5611 64 4.22 0.17 -0.27 0.05 1.98 0.09 5.623 Br39 0.9993
07471695-0444134 5920 72 4.17 0.21 -0.41 0.05 2.5 0.1 5.623 Br39 0.9997
07471908-0446276 6004 64 4.23 0.17 -0.3 0.06 2.75 0.08 5.623 Br39 0.9999
07471940-0442180 5900 65 4.42 0.17 -0.27 0.06 2.09 0.14 5.623 Br39 0.9997
07472131-0449367 6067 65 4.38 0.18 -0.25 0.05 2.7 0.09 5.623 Br39 0.9996
07472189-0445280 5766 66 4.01 0.18 -0.45 0.06 2.13 0.09 5.623 Br39 0.9997
07472418-0439448 6223 65 4.18 0.18 -0.12 0.05 2.61 0.12 5.623 Br39 0.9944
07472777-0439250 6004 66 4.17 0.18 -0.12 0.05 2.19 0.11 5.623 Br39 0.9947
07462530-0436380 5845 63 4.08 0.17 -0.37 0.05 2.22 0.08 5.623 Br39 0.9997
07463148-0440498 5812 65 4.13 0.17 -0.16 0.05 2.27 0.07 5.623 Br39 0.9998
07464058-0439038 6403 65 4.17 0.18 -0.18 0.05 2.4 0.13 5.623 Br39 0.9997
07464986-0441416 6110 66 4.28 0.17 -0.24 0.05 2.46 0.09 5.623 Br39 0.9972
07465121-0436035 4909 65 3.14 0.18 -0.11 0.06 0.8 0.11 5.623 Br39 0.9999
07465121-0441472 6015 66 4.11 0.18 -0.17 0.06 2.81 0.06 5.623 Br39 0.9999
07465221-0440041 5956 65 4.17 0.17 -0.25 0.05 2.51 0.07 5.623 Br39 0.9926
07465725-0446317 5832 62 4.24 0.17 -0.33 0.05 2.3 0.08 5.623 Br39 0.9999
07470438-0440071 6011 65 4.25 0.17 -0.07 0.05 2.23 0.14 5.623 Br39 0.9995
07463708-0439072 5091 33 3.63 0.05 -0.1 0.17 0.6 0.0 5.623 Br39 0.9997
07464629-0440040 4996 32 3.52 0.05 -0.24 0.17 0.94 0.09 5.623 Br39 0.9991
07464855-0439092 5067 33 3.59 0.05 -0.23 0.17 1.21 0.06 5.623 Br39 0.9999
07465009-0436004 4817 32 2.62 0.05 -0.14 0.17 0.64 0.05 5.623 Br39 0.9999
07471674-0439150 4829 30 2.61 0.05 -0.14 0.17 -0.18 0.0 5.623 Br39 0.9982
07461976-0434182 5858 66 4.01 0.18 -0.34 0.06 2.28 0.13 5.623 Br39 0.9999
07462005-0442051 5812 63 4.07 0.18 -0.44 0.05 2.53 0.1 5.623 Br39 0.9998
07462406-0440106 5984 66 4.42 0.18 0.02 0.05 2.38 0.13 5.623 Br39 0.9999
07462504-0435396 5689 67 3.95 0.17 -0.48 0.05 2.32 0.14 5.623 Br39 0.9991
07462812-0440073 5679 64 3.76 0.18 -0.3 0.05 2.78 0.11 5.623 Br39 0.9998
07462813-0437443 5555 67 3.85 0.17 -0.39 0.06 2.17 0.1 5.623 Br39 0.9996
07463285-0447005 6037 64 4.25 0.17 -0.23 0.05 2.57 0.13 5.623 Br39 0.9995
07463607-0440079 6070 64 4.27 0.18 -0.2 0.06 2.54 0.08 5.623 Br39 0.9997
07463628-0434522 5579 82 3.87 0.22 -0.36 0.08 2.41 0.19 5.623 Br39 0.9995
07463708-0439479 6156 66 4.26 0.17 -0.14 0.05 2.65 0.08 5.623 Br39 0.9997
07463816-0440256 5939 66 4.11 0.18 -0.22 0.05 2.43 0.08 5.623 Br39 0.9999
07463861-0441303 6009 63 4.14 0.18 -0.27 0.05 2.64 0.1 5.623 Br39 0.9993
07463941-0435346 5579 83 3.99 0.22 -0.09 0.08 1.65 0.45 5.623 Br39 0.9996
07464059-0435031 5724 65 4.01 0.18 -0.24 0.05 2.14 0.17 5.623 Br39 0.9996
07464189-0431042 5544 64 3.92 0.18 -0.18 0.06 2.05 0.08 5.623 Br39 0.9999
07464215-0445192 6072 66 4.32 0.17 -0.17 0.06 2.57 0.18 5.623 Br39 0.9997
07464243-0435007 5851 66 4.54 0.17 -0.38 0.05 2.6 0.09 5.623 Br39 0.9931
07464280-0442170 6093 66 4.55 0.17 -0.13 0.06 2.54 0.12 5.623 Br39 0.9997
07464335-0443200 6064 66 4.23 0.17 -0.27 0.05 2.63 0.07 5.623 Br39 0.9999
07464417-0438252 5912 66 4.53 0.17 -0.27 0.06 2.46 0.11 5.623 Br39 0.9997
07464497-0439015 5835 69 4.33 0.21 -0.41 0.05 2.47 0.1 5.623 Br39 0.9823
07464599-0444054 5794 65 4.21 0.17 -0.23 0.05 2.24 0.12 5.623 Br39 0.9852
07464615-0442099 6278 82 4.07 0.21 -0.26 0.08 2.74 0.16 5.623 Br39 0.9991
07464623-0440377 5862 81 4.11 0.21 -0.14 0.08 2.36 0.21 5.623 Br39 0.9989
07464664-0436366 5940 66 4.44 0.17 -0.21 0.05 2.4 0.11 5.623 Br39 0.9999
07464696-0434586 5753 65 3.92 0.17 -0.34 0.06 2.4 0.11 5.623 Br39 0.9995
07464915-0439599 5959 65 4.17 0.17 -0.3 0.06 2.68 0.08 5.623 Br39 0.9997
07464951-0437282 5804 65 4.27 0.17 -0.3 0.05 2.37 0.12 5.623 Br39 0.9997
07465104-0442331 5892 64 4.26 0.18 -0.23 0.05 2.43 0.09 5.623 Br39 0.9993
07465201-0439201 5764 65 4.35 0.17 -0.43 0.05 2.25 0.09 5.623 Br39 0.9935
07465201-0441255 5081 64 3.73 0.17 -0.02 0.05 1.21 0.11 5.623 Br39 0.9999
07465243-0439524 5954 65 4.24 0.17 -0.51 0.05 2.7 0.07 5.623 Br39 0.9999
07465282-0435386 5913 66 4.11 0.17 -0.44 0.05 2.26 0.2 5.623 Br39 0.9995
07465402-0435596 5798 65 4.64 0.17 -0.15 0.06 1.97 0.23 5.623 Br39 0.9909
07465422-0440235 5969 65 4.04 0.17 -0.05 0.06 2.42 0.08 5.623 Br39 0.9998
07465493-0439063 6040 65 4.19 0.18 -0.28 0.05 2.54 0.1 5.623 Br39 0.9997
07465498-0441552 5859 70 4.46 0.21 -0.17 0.05 2.54 0.12 5.623 Br39 0.9995
07465500-0437433 5149 66 3.46 0.17 0.01 0.06 0.94 0.16 5.623 Br39 0.9999
07465570-0441344 5956 102 4.39 0.34 -0.24 0.1 2.55 0.15 5.623 Br39 0.9913
07465585-0448212 5983 81 4.69 0.22 0.05 0.08 1.93 0.0 5.623 Br39 0.9977
07465652-0439100 5935 66 4.57 0.18 -0.39 0.05 2.54 0.13 5.623 Br39 0.9994
07465971-0440572 5904 65 4.7 0.18 -0.02 0.05 2.58 0.15 5.623 Br39 0.9985
07470030-0442471 6136 64 4.32 0.17 -0.34 0.05 3.02 0.09 5.623 Br39 0.999
07470042-0440047 5824 64 4.5 0.18 -0.28 0.05 2.26 0.0 5.623 Br39 0.9989
07470122-0437519 5962 67 4.62 0.17 -0.42 0.05 2.38 0.11 5.623 Br39 0.9999
07470208-0438555 5783 65 3.95 0.17 -0.4 0.05 2.42 0.12 5.623 Br39 0.9995
07470429-0435133 5810 82 3.79 0.21 -0.3 0.08 2.08 0.19 5.623 Br39 0.9998
07470493-0435424 4941 33 3.18 0.05 -0.11 0.04 -0.13 0.0 5.623 Br39 0.9998
07470554-0443068 5667 71 4.4 0.21 -0.55 0.05 2.39 0.11 5.623 Br39 0.9641
07470908-0434391 5992 66 4.43 0.17 -0.34 0.05 2.87 0.1 5.623 Br39 0.9996
07471318-0435353 5702 79 4.28 0.21 -0.18 0.08 2.18 0.2 5.623 Br39 0.9986
07460935-0441028 5834 65 3.9 0.17 -0.16 0.06 2.72 0.07 5.623 Br39 0.9998
07461196-0438297 6015 65 4.13 0.17 -0.36 0.05 2.48 0.08 5.623 Br39 0.9998
07461394-0441505 5742 69 3.83 0.17 -0.55 0.06 2.37 0.11 5.623 Br39 0.9998
07462140-0436313 6010 66 4.2 0.17 -0.38 0.06 2.56 0.09 5.623 Br39 0.9997
07462166-0435063 6062 64 4.24 0.18 -0.24 0.06 2.52 0.08 5.623 Br39 0.9999
07462491-0440361 5941 64 4.12 0.17 -0.35 0.05 2.51 0.1 5.623 Br39 0.9816
07462510-0442275 5811 64 3.74 0.17 -0.17 0.05 2.29 0.13 5.623 Br39 0.9997
07462677-0440523 5944 65 4.3 0.17 -0.27 0.05 2.2 0.19 5.623 Br39 0.9958
07462982-0436269 5681 67 3.96 0.17 -0.56 0.06 2.27 0.11 5.623 Br39 0.9998
07463133-0436276 5829 64 4.1 0.17 -0.49 0.06 2.41 0.1 5.623 Br39 0.9998
07463322-0437337 5500 65 4.04 0.18 -0.32 0.05 2.3 0.1 5.623 Br39 0.963
07463459-0444376 5871 64 4.49 0.17 -0.29 0.05 2.44 0.11 5.623 Br39 0.999
07463480-0441145 5086 64 3.5 0.18 -0.15 0.06 1.16 0.11 5.623 Br39 0.9998
07463586-0434535 5965 64 4.03 0.18 -0.27 0.05 2.23 0.14 5.623 Br39 0.9998
07463644-0437349 5899 81 4.12 0.22 -0.35 0.08 2.54 0.15 5.623 Br39 0.9997
07463742-0438317 6006 65 4.21 0.17 -0.19 0.05 2.7 0.1 5.623 Br39 0.9983
07463876-0439342 5965 81 4.13 0.22 -0.18 0.08 2.6 0.14 5.623 Br39 0.9826
07464065-0438422 5146 64 3.63 0.17 -0.11 0.05 1.08 0.13 5.623 Br39 0.9937
07464296-0438369 5917 65 4.21 0.17 -0.24 0.05 2.36 0.09 5.623 Br39 0.9999
07464328-0439022 6013 63 4.12 0.17 -0.22 0.05 2.56 0.08 5.623 Br39 0.9997
07464434-0437206 5887 65 4.21 0.17 -0.35 0.06 2.48 0.13 5.623 Br39 0.9972
07464592-0437331 5786 64 4.05 0.17 -0.08 0.05 2.23 0.17 5.623 Br39 0.9997
07464604-0441465 5347 65 4.27 0.17 -0.37 0.06 1.37 0.0 5.623 Br39 0.9996
07464681-0433224 5540 81 4.08 0.21 -0.28 0.07 2.12 0.13 5.623 Br39 0.9961
07464707-0442575 6100 64 4.5 0.18 -0.19 0.05 2.82 0.08 5.623 Br39 0.9999
07464751-0440205 5979 65 4.35 0.17 -0.27 0.05 2.68 0.08 5.623 Br39 0.9942
07464881-0438344 5817 65 4 0.17 -0.39 0.05 2.31 0.12 5.623 Br39 0.9997
07464912-0440525 6017 65 4.4 0.18 -0.27 0.05 2.4 0.09 5.623 Br39 0.9998
07465102-0438168 6094 65 4.07 0.17 -0.2 0.06 2.65 0.11 5.623 Br39 0.9992
07465124-0441032 6024 63 4.08 0.18 -0.35 0.05 2.58 0.08 5.623 Br39 0.9997
07465220-0441015 5687 64 4.64 0.18 -0.37 0.05 2.44 0.11 5.623 Br39 0.9991
07465374-0438415 4917 67 3.06 0.17 -0.1 0.06 0.18 0.34 5.623 Br39 0.9999
07465480-0439297 5008 64 3.42 0.18 -0.1 0.05 0.82 0.13 5.623 Br39 0.9926
07465620-0441578 6076 67 4.32 0.17 -0.15 0.05 2.88 0.08 5.623 Br39 0.9998
07470054-0440008 5878 65 4.28 0.17 -0.22 0.06 2.58 0.07 5.623 Br39 0.9983
07470082-0445164 6345 81 4.4 0.22 -0.07 0.07 2.85 0.14 5.623 Br39 0.9998
07470144-0433270 5415 82 3.36 0.22 -0.16 0.08 1.74 0.35 5.623 Br39 0.9997
07470610-0439193 5928 65 4.33 0.17 -0.33 0.06 2.38 0.12 5.623 Br39 0.9993
07470684-0440248 5827 65 3.99 0.18 -0.29 0.05 2.53 0.1 5.623 Br39 0.9995
07470975-0449415 6055 66 4.04 0.17 -0.31 0.06 2.4 0.09 5.623 Br39 0.9999
07471289-0434368 6035 64 3.99 0.17 -0.26 0.05 2.66 0.09 5.623 Br39 0.9999
07472130-0442031 5380 66 4.1 0.18 -0.33 0.05 1.71 0.25 5.623 Br39 0.9893
07472226-0439119 5981 66 4.16 0.17 -0.33 0.05 2.51 0.12 5.623 Br39 0.9774
07472285-0436561 5964 65 4.17 0.17 -0.31 0.06 2.63 0.09 5.623 Br39 0.9996
07472434-0437378 5755 84 3.66 0.23 -0.03 0.08 2.36 0.17 5.623 Br39 0.9996
07472486-0435530 5962 79 4.41 0.21 -0.3 0.08 2.93 0.17 5.623 Br39 0.9968
07472594-0438493 5903 65 4.16 0.18 -0.1 0.05 2.69 0.07 5.623 Br39 0.9999
07473589-0442356 6065 66 4.14 0.18 -0.28 0.05 2.52 0.1 5.623 Br39 0.9988
07462726-0441382 5834 66 4.5 0.18 -0.33 0.05 2.32 0.16 5.623 Br39 0.9998
07464911-0441557 4859 31 3.04 0.05 -0.09 0.17 0.64 0.06 5.623 Br39 0.9999
07465200-0441557 4980 30 2.77 0.05 -0.18 0.17 0.48 0.09 5.623 Br39 0.9817
07465801-0433550 4501 30 2.29 0.05 -0.21 0.17 -0.01 0.1 5.623 Br39 0.9999
07470332-0439436 4932 31 3.21 0.05 -0.07 0.17 -1 0.0 5.623 Br39 0.9999
07465652-0443512 4844 31 2.69 0.05 -0.15 0.05 -0.42 0.0 5.623 Br39 0.9999
07470378-0439141 4700 31 2.52 0.05 -0.14 0.05 1.17 0.06 5.623 Br39 1
19165874+1934193 4776 63 2.46 0.18 0.03 0.05 0.66 0.1 1.445 Br44 1
19170200+1933193 6596 65 4.06 0.17 0.14 0.05 2.35 0.0 1.445 Br44 0.9998
19170216+1930159 6639 77 4.35 0.18 0.02 0.1 3.27 0.06 1.445 Br44 0.9985
19170500+1929506 6871 67 4.34 0.17 0.27 0.05 2.38 0.0 1.445 Br44 0.9981
